date,startup,vertical,subvertical,city,investors,round,amount,Date
01/09/2017,mfine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,12.45,2017-09-01
01/09/2017,canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,10.79,2017-09-01
04/09/2017,primaryio,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,46.48,2017-09-04
05/09/2017,shubhloans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,12.45,2017-09-05
05/09/2017,nesteducation,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,4.98,2017-09-05
06/09/2017,lendingkart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,89.22,2017-09-06
06/09/2017,gofro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,83.0,2017-09-06
06/09/2017,oncostem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,49.8,2017-09-06
06/09/2017,power2sme,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,215.8,2017-09-06
07/09/2017,creditvidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,41.5,2017-09-07
07/09/2017,tailslife,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,Private Equity,0.0,2017-09-07
07/09/2017,oyorooms,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2075.0,2017-09-07
07/09/2017,earlysalary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,6.47,2017-09-07
07/09/2017,mamaearth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,Seed Funding,0.0,2017-09-07
07/09/2017,seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,8.3,2017-09-07
08/09/2017,ayefinance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,57.27,2017-09-08
08/09/2017,farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0,2017-09-08
11/09/2017,ecomexpress,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,249.0,2017-09-11
11/09/2017,callhealth,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,51.46,2017-09-11
12/09/2017,sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0,2017-09-12
12/09/2017,3hcare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,0.83,2017-09-12
12/09/2017,tonboimaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,141.1,2017-09-12
12/09/2017,getmyparking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,24.9,2017-09-12
13/09/2017,wittyfeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0,2017-09-13
13/09/2017,glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",Private Equity,16.6,2017-09-13
13/09/2017,oyorooms,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,Private Equity,83.0,2017-09-13
13/09/2017,unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,95.45,2017-09-13
13/09/2017,heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,6.47,2017-09-13
14/09/2017,gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0,2017-09-14
14/09/2017,smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,365.2,2017-09-14
14/09/2017,wheelstreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding,1.0,2017-09-14
14/09/2017,xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0,2017-09-14
18/09/2017,themoms,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,8.3,2017-09-18
19/09/2017,noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0,2017-09-19
19/09/2017,highradius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,415.0,2017-09-19
20/09/2017,hwell24plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,0.0,2017-09-20
21/09/2017,savebc,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,49.8,2017-09-21
21/09/2017,gamingmonk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,0.0,2017-09-21
21/09/2017,91springboard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,0.0,2017-09-21
21/09/2017,homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,8.3,2017-09-21
22/09/2017,yatracom,eCommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,127.82,2017-09-22
22/09/2017,aceturtle,Technology,Omni-channel web commerce solutions provider,Bangalore,InnoVen Capital,Private Equity,0.0,2017-09-22
25/09/2017,vogo,Consumer Internet,Scooter Rental Platform,Bangalore,AV Thomas Group,Seed Funding,0.0,2017-09-25
25/09/2017,synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,49.8,2017-09-25
25/09/2017,tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0.0,2017-09-25
25/09/2017,cropin,Technology,Crop Technology Solutions,Bangalore,Beenext,Private Equity,0.0,2017-09-25
25/09/2017,rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,3.5,2017-09-25
25/09/2017,sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,1.25,2017-09-25
26/09/2017,credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Kae Capital,Private Equity,0.0,2017-09-26
26/09/2017,inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0.0,2017-09-26
26/09/2017,multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,0.0,2017-09-26
27/09/2017,transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,13.28,2017-09-27
27/09/2017,fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,0.0,2017-09-27
27/09/2017,pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8.3,2017-09-27
27/09/2017,gochoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",Seed Funding,0.0,2017-09-27
27/09/2017,myupchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,2.49,2017-09-27
28/09/2017,aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,8.3,2017-09-28
01/08/2017,touchkin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,10.79,2017-08-01
02/08/2017,ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,0.0,2017-08-02
02/08/2017,leverageedu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.0,2017-08-02
02/08/2017,zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,4.15,2017-08-02
02/08/2017,click2clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,7.05,2017-08-02
03/08/2017,speedbox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,2.49,2017-08-03
03/08/2017,skillconnect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,0.0,2017-08-03
03/08/2017,chaipoint,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,0.0,2017-08-03
03/08/2017,zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,0.0,2017-08-03
04/08/2017,limetray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,0.0,2017-08-04
04/08/2017,coutloot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0.0,2017-08-04
04/08/2017,boxmyspace,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,0.0,2017-08-04
05/08/2017,curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,0.0,2017-08-05
08/08/2017,newcastle,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,2.02,2017-08-08
08/08/2017,myforexeye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,1.83,2017-08-08
09/08/2017,trux,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,25.73,2017-08-09
09/08/2017,crofarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding,6.5,2017-08-09
09/08/2017,doodhwala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,Seed Funding,0.0,2017-08-09
10/08/2017,stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0.0,2017-08-10
11/08/2017,flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,Private Equity,20750.0,2017-08-11
11/08/2017,moong,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,0.0,2017-08-11
11/08/2017,ola,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,298.8,2017-08-11
14/08/2017,sportsflashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,0.0,2017-08-14
14/08/2017,digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,2.59,2017-08-14
15/08/2017,knabfinance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,3.2,2017-08-15
17/08/2017,getsimpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,0.0,2017-08-17
20/08/2017,rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",Seed Funding,1.55,2017-08-20
21/08/2017,uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,56.44,2017-08-21
21/08/2017,cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,6.09,2017-08-21
22/08/2017,flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",Seed Funding,0.0,2017-08-22
22/08/2017,easygov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0.0,2017-08-22
23/08/2017,milkbasket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,0.0,2017-08-23
23/08/2017,dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,664.0,2017-08-23
23/08/2017,bombayshaving,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,19.09,2017-08-23
23/08/2017,awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0.0,2017-08-23
23/08/2017,indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding,4.15,2017-08-23
24/08/2017,ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,132.8,2017-08-24
25/08/2017,inkmonk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,6.22,2017-08-25
25/08/2017,medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,1.04,2017-08-25
28/08/2017,mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,58.1,2017-08-28
29/08/2017,curefit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,207.5,2017-08-29
29/08/2017,doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,6.22,2017-08-29
29/08/2017,fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,0.0,2017-08-29
30/08/2017,treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,282.2,2017-08-30
30/08/2017,medgenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,249.0,2017-08-30
01/07/2017,billionloans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,8.3,2017-07-01
03/07/2017,ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,21.58,2017-07-03
04/07/2017,droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,166.0,2017-07-04
05/07/2017,jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,70.55,2017-07-05
05/07/2017,moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,99.6,2017-07-05
05/07/2017,timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,8.3,2017-07-05
06/07/2017,minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0.0,2017-07-06
07/07/2017,clip,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,8.3,2017-07-07
07/07/2017,upwardlyin,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.0,2017-07-07
10/07/2017,autorox,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,24.9,2017-07-10
11/07/2017,fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,18.68,2017-07-11
11/07/2017,flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,3.85,2017-07-11
11/07/2017,designcafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.0,2017-07-11
12/07/2017,innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,153.55,2017-07-12
12/07/2017,vdeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0.0,2017-07-12
12/07/2017,bottrme,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0.0,2017-07-12
12/07/2017,arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,0.0,2017-07-12
14/07/2017,qwikspec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,4.48,2017-07-14
14/07/2017,chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,14.11,2017-07-14
17/07/2017,increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,16.6,2017-07-17
17/07/2017,vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,33.2,2017-07-17
18/07/2017,mobiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,0.0,2017-07-18
